47f7c0,28e837c857c0
489910,28e837c86910
47dc80,fdfd3a8c1c80
402a12,fdfd3a8c2a12
4029e0,fdfd3a8c29e0
47a780,fdfd3a8c5780
47f7c0,fdfd3a8c3028
489917,fdfd3a8c4850
482630,fdfd3a8c6630
482642,fdfd3a8c6642
47dc80,fdfd3a8c3060
47f7c5,fdfd3a8c4820
4029e4,fdfd3a8c7db0
402a12,fdfd3a8c87b8
4029ef,fdfd3a8c31a8
402a05,fdfd3a8c9e30
4827b3,fdfd3a8c67b3
4827c5,fdfd3a8c67c5
482940,fdfd3a8c6940
47a792,fdfd3a8cad88
47ae40,fdfd3a8c5e40
47a7c0,fdfd3a8c57c0
47a7b8,fdfd3a8cb8e0
47dbf0,fdfd3a8c1bf0
47dc04,fdfd3a8c1c04
47dc0e,fdfd3a8cc888
47e7a2,fdfd3a8cd7a2
47e7c8,fdfd3a8cd7c8
402a12,fdfd3a8c87c0
4029e4,fdfd3a8c7dc0
402a12,fdfd3a8c8800
4029e4,fdfd3a8c7e00
402a12,fdfd3a8c8840
4029e4,fdfd3a8c7e40
402a12,fdfd3a8c8880
4029e4,fdfd3a8c7e80
402a12,fdfd3a8c88c0
4029e4,fdfd3a8c7ec0
402a12,fdfd3a8c8900
4029e4,fdfd3a8c7f00
402a12,fdfd3a8c8940
4029e4,fdfd3a8c7f40
402a12,fdfd3a8c8980
4029e4,fdfd3a8c7f80
402a12,fdfd3a8c89c0
4029e4,fdfd3a8c7fc0
402a12,fdfd3a8c8a00
4029e4,fdfd3a8ce000
402a12,fdfd3a8c8a40
4029e4,fdfd3a8ce040
402a12,fdfd3a8c8a80
4029e4,fdfd3a8ce080
402a12,fdfd3a8c8ac0
4029e4,fdfd3a8ce0c0
402a12,fdfd3a8c8b00
4029e4,fdfd3a8ce100
402a12,fdfd3a8c8b40
4029e4,fdfd3a8ce140
402a12,fdfd3a8c8b80
4029e4,fdfd3a8ce180
402a12,fdfd3a8c8bc0
4029e4,fdfd3a8ce1c0
402a12,fdfd3a8c8c00
4029e4,fdfd3a8ce200
402a12,fdfd3a8c8c40
4029e4,fdfd3a8ce240
402a12,fdfd3a8c8c80
4029e4,fdfd3a8ce280
402a40,fdfd3a8c2a40
402a30,fdfd3a8c3158
402a27,fdfd3a8c3278
4029ad,fdfd3a8c29ad
402a40,fdfd3a8c3338
402a48,fdfd3a8c3280
4029ba,fdfd3a8c3130
402a12,fdfd3a8c8cc0
4029e4,fdfd3a8ce2c0
402a12,fdfd3a8c8d00
4029e4,fdfd3a8ce300
